date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,role,season,target_day,offset_days,spread_db
2023-03-10,S1A_IW_GRDH_1SDH_20230310T204812_20230310T204837_047587_05B6FA_rtc,2023-03-10T20:48:25.424055Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-16.908,-21.71,-11.02,-10.21,6.697,1,,suspect,2023,2023-03-10,0,10.69
2023-03-10,S1A_IW_GRDH_1SDH_20230310T204812_20230310T204837_047587_05B6FA_rtc,2023-03-10T20:48:25.424055Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-16.908,-21.71,-11.02,-10.21,6.697,1,,suspect,2023,2023-03-11,-1,10.69
2023-03-10,S1A_IW_GRDH_1SDH_20230310T204812_20230310T204837_047587_05B6FA_rtc,2023-03-10T20:48:25.424055Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-16.908,-21.71,-11.02,-10.21,6.697,1,,suspect,2023,2023-03-12,-2,10.69
2023-03-18,S1A_IW_GRDH_1SDH_20230318T100029_20230318T100054_047697_05BAC5_rtc,2023-03-18T10:00:42.200549Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-22.04,-26.518,-12.543,-12.081,9.959,1,,suspect,2023,2023-03-19,-1,13.975
2023-05-17,S1A_IW_GRDH_1SDH_20230517T100011_20230517T100040_048572_05D79F_rtc,2023-05-17T10:00:25.784321Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-24.775,-28.297,-20.385,-11.217,13.558,1,,suspect,2023,2023-05-17,0,7.912
2023-03-22,S1A_IW_GRDH_1SDH_20230322T204812_20230322T204837_047762_05BCE8_rtc,2023-03-22T20:48:25.342853Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.183,-22.603,-10.863,-10.545,6.638,1,,closed_ice,2023,2023-03-26,-4,11.74
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,closed_ice,2023,2023-03-26,4,9.336
2023-03-22,S1A_IW_GRDH_1SDH_20230322T204812_20230322T204837_047762_05BCE8_rtc,2023-03-22T20:48:25.342853Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.183,-22.603,-10.863,-10.545,6.638,1,,closed_ice,2023,2023-03-27,-5,11.74
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,closed_ice,2023,2023-03-27,3,9.336
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,closed_ice,2023,2023-03-28,2,9.336
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,closed_ice,2023,2023-04-03,-4,9.336
2023-04-03,S1A_IW_GRDH_1SDH_20230403T204813_20230403T204838_047937_05C2C8_rtc,2023-04-03T20:48:25.959616Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-15.099,-19.126,-11.105,-10.536,4.564,1,,closed_ice,2023,2023-04-03,0,8.021
2023-06-14,S1A_IW_GRDH_1SDH_20230614T204816_20230614T204841_048987_05E418_rtc,2023-06-14T20:48:29.238618Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-20.991,-25.248,-16.224,-9.223,11.768,1,,open_water,2023,2023-06-18,-4,9.024
